Antofagasta;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;PROMEDIO
Antogafasta;;;;;;;;;;;;;;;12,1739;11,6334;9,15407;8,38824;9,68769;11,9078;9,53521;10,6917;10,7799;11,4062;11,0388;10,9035;8,76786;
Club Deportivo ;;;;;;;;;;;;;;7,82003;8,46302;9,33842;6,814;6,05596;9,91515;7,00862;7,26836;6,98291;6,56897;7,0057;6,82456;6,08012;5,10084;
Colegio Pedro Vergara Keller;;;;;;;;;;;;;;11,7021;11,778;11,3183;10,3354;8,81781;12,1246;8,10645;8,40643;10,83;9,48955;9,25223;8,1543;8,45511;5,76562;
Estación Centro ;;;;;;;;;;;;;;7,82003;8,46302;9,33842;6,814;6,05596;9,91515;7,00862;7,26836;6,98291;6,56897;7,0057;6,82456;6,08012;5,10084;
Hospital del Cobre ;;;;;;;;;;;;;;;12,1739;11,6334;9,15407;8,38824;9,68769;11,9078;9,53521;10,6917;10,7799;11,4062;11,0388;10,9035;8,76786;
Sierra Gorda ;;;;;;;;;;;;;;14,027;10,4346;10,1072;8,39057;11,1731;9,48997;9,46978;8,89916;5,66482;6,19209;7,96676;7,75138;6,43509;5,50581;
Bomberos ;;;;;;;;;;;28,5837;16,6696;21,4988;24,7569;25,4878;25,5451;24,1679;22,1202;18,8651;15,1372;14,1404;13,5821;12,8535;13,4709;13,422;15,2958;21,0412;
Super Site ;;;;;;;;;;;;;;;;;;;;;9,17553;16,6994;14,2794;13,7022;30,5043;18,5494;14,4453;
Tres Marías ;;;;;;;;;;;;;23,8261;24,6912;15,9078;11,3654;14,6469;21,409;15,0364;12,664;10,674;8,12222;6,41389;5,21114;5,65659;11,8356;11,7644;
Escuela E-10 ;;;;;;;;;;;;;19,835;31,8038;23,3429;15,6057;11,3473;11,0298;11,7083;10,3128;;;;;;;;