Bío Bío;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;PROMEDIO
Punteras;;;;;;;;;;;;23,7964;1,99261;18,35;17,9353;13,203;11,3906;16,7063;15,9914;17,7479;16,732;17,2861;15,9364;17,4265;15,6471;15,17;13,5685;
Kingston College ;;;;;;;;;;;49,4206;30,5876;46,1071;22,1962;13,3773;20,6125;23,9621;15,7259;19,3057;14,6961;13,6676;14,5462;13,6947;12,1232;13,6932;12,3324;11,1972;
Cerro Merquín;;;;;;;;;;;0,297289;24,7109;14,3434;14,9837;14,7663;13,1284;18,2027;19,9846;17,9509;11,6441;17,9635;18,176;14,9339;16,1687;16,2385;12,7955;14,6149;
Coronel Norte ;;;;;;;;;;;;;;;;;;;;;35,7217;24,0288;28,7086;31,3294;32,4618;35,5515;32,954;
Escuadron, ENEL;;;;;;;;;;;;;;;;;;;;;;19,1406;16,7537;15,2976;15,5207;9,58861;11,7701;
Escuadron, ENESA;;;;;;;;;;;;;;;;;;;;;;14,8757;11,0661;9,76164;18,9743;14,2822;11,1647;
Lagunillas, ENEL;;;;;;;;;;;;;;;;;;;;;;28,0638;20,6691;22,917;26,0055;19,6813;18,1322;
Lota rural ;;;;;;;;;;;;;;;;;32,0918;29,3267;;;;15,1401;12,6453;10,8547;9,21538;5,47922;11,6821;
Lota urbana ;;;;;;;;;;;;;;;;;17,3157;21,0779;24,9708;;;25,8784;25,5539;28,0711;27,0605;21,6264;20,1724;
Balneario Caranilahue;;;;;;;;;;;;;;;;;;35,5747;26,4118;22,3785;17,4079;21,0899;20,4202;21,1236;24,1532;22,1412;20,1467;
Bocatoma;;;;;;;;;;;;;;;;;;12,6522;14,0635;13,0997;;14,2643;13,7031;11,3707;8,44144;12,2066;14,7529;
ENAP Price ;;;;;;;;;;;;;;16,387;14,9038;9,79908;12,5576;14,2363;13,2219;12,6584;12,2575;12,3972;12,5937;11,925;12,823;11,478;12,4682;
JUNJI;;;;;;;;;;;;;;;;;33,9768;27,5785;24,0706;25,5556;25,4903;26,0056;28,12;27,162;31,9362;30,7633;28,9353;
Hualqui;;;;;;;;;;;;;;;;;;21,7448;21,365;21,5426;19,2147;21,9683;20,1755;23,8095;21,7649;19,231;20,3448;
Laja;;;;;;;;;;;;;;;;;;;;;20,0201;;;28,8042;21,7057;23,3041;25,3481;
21 de mayo ;;;;;;;;;;;;;;29,1895;27,4898;29,1138;33,3596;28,2358;35,0446;30,0368;27,0143;27,5714;24,9695;26,6899;24,9778;26,6443;22,8067;
Los Ángeles Oriente ;;;;;;;;;;;;;;19,1347;26,702;31,4107;31,7054;17,8045;15,9648;15,4269;13,8177;13,3939;12,3239;14,5655;12,1337;13,6525;13,1611;
Club de Empleados ;;;;;;;;;;;;;;;;;;;;;28,9632;26,0773;16,233;29,3884;25,272;25,0225;25,4059;
Lautaro ;;;;;;;;;;;;;;;;;;;;;43,9337;44,25;36,577;42,7541;47,7949;50,7337;36,6807;
San Vicente ;;;;;;;;;;;;29,6023;24,8739;19,8835;23,1243;24,9146;;20,6826;24,8473;21,1783;19,9749;21,0365;17,9361;18,5583;20,5485;16,262;14,5347;
Libertad ;;19,3353;19,8348;22,187;23,977;22,6113;23,4323;23,6206;22,5629;20,9696;;;;;;;;;;;;;;;;;;
Indura ;;;;;;;;;;;;;;;;;;;14,117;16,8162;15,9612;15,3361;14,4438;15,2555;15,5369;15,0896;15,9195;
Inpesca;;;;;;;;;;;;;;14,1901;13,0394;;30,2802;25,1783;27,3774;20,2;20,9123;20,6761;20,9242;20,7328;20,9366;18,761;19,4765;
Nueva Libertad ;;;;;;;;;;;20,8926;22,917;21,9731;20,6168;18,2591;17,4487;22,1246;20,5817;22,9479;21,5288;20,0549;23,5397;23,6629;19,6609;24,847;16,2909;23,5747;
Liceo Polivalente ;;;;;;;;;;;;67,3168;;;12,6974;16,3652;16,333;13,0448;20,2225;15,5014;13,4497;16,1137;15,3718;16;15,1629;11,7912;11,9931;